Event Name,Log Source,Event Count,Time,Low Level Category,Source IP,Source Port,Destination
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:11 AM",Distributed DoS,57.238.72.61,1787,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:09 AM",Distributed DoS,72.205.255.130,16583,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:08 AM",Distributed DoS,12.80.205.8,31098,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:16 AM",Distributed DoS,103.234.5.186,26264,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:41 AM",Distributed DoS,206.21.4.125,64021,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:27 AM",Distributed DoS,166.241.115.228,64435,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:12 AM",Distributed DoS,241.212.124.104,34639,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:25 AM",Distributed DoS,105.173.140.54,54057,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:14 AM",Distributed DoS,180.99.150.216,7637,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:43 AM",Distributed DoS,88.247.195.239,36465,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:39 AM",Distributed DoS,33.198.68.137,57949,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:22 AM",Distributed DoS,116.161.222.124,32204,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:28 AM",Distributed DoS,93.227.140.195,4465,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:34 AM",Distributed DoS,210.183.56.244,14684,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:00 AM",Distributed DoS,60.225.76.197,9780,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:30 AM",Distributed DoS,198.77.250.18,24381,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:08 AM",Distributed DoS,109.0.77.171,28524,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:06 AM",Distributed DoS,209.95.202.245,27409,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:31 AM",Distributed DoS,221.62.2.229,24266,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:43 AM",Distributed DoS,143.71.250.52,7365,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:27 AM",Distributed DoS,176.211.35.1,58749,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:31 AM",Distributed DoS,82.20.65.50,34263,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:16 AM",Distributed DoS,196.205.239.187,19809,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:39 AM",Distributed DoS,110.10.199.150,23881,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:24 AM",Distributed DoS,18.102.231.129,39723,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:08 AM",Distributed DoS,113.68.141.138,57127,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:04 AM",Distributed DoS,44.213.23.248,15198,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:08 AM",Distributed DoS,183.161.245.106,57963,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:42 AM",Distributed DoS,125.169.12.144,8566,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:43 AM",Distributed DoS,128.20.17.26,20909,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:24 AM",Distributed DoS,61.101.111.93,63146,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:12 AM",Distributed DoS,76.9.235.255,5843,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:34:37 AM",Distributed DoS,83.244.197.62,52891,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:25 AM",Distributed DoS,128.43.50.96,43770,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:45 AM",Distributed DoS,143.163.169.138,10818,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:12 AM",Distributed DoS,220.74.120.192,33405,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:31 AM",Distributed DoS,84.219.198.80,1840,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:42 AM",Distributed DoS,103.166.181.236,27423,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:02 AM",Distributed DoS,69.75.46.173,42557,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:01 AM",Distributed DoS,248.92.219.195,63792,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:04 AM",Distributed DoS,195.221.145.154,40537,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:13 AM",Distributed DoS,160.50.53.204,56188,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:27 AM",Distributed DoS,91.65.35.248,60185,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:05 AM",Distributed DoS,124.140.89.79,59675,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:13 AM",Distributed DoS,153.58.84.221,64953,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:06 AM",Distributed DoS,8.37.21.234,61808,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:20 AM",Distributed DoS,59.211.184.211,5779,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:48 AM",Distributed DoS,167.1.32.67,22827,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:23 AM",Distributed DoS,57.64.94.17,36525,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:19 AM",Distributed DoS,140.122.59.183,51345,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:03 AM",Distributed DoS,45.232.132.21,56925,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:33 AM",Distributed DoS,79.237.44.133,9605,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:33 AM",Distributed DoS,246.150.251.193,30933,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:06 AM",Distributed DoS,4.162.141.227,20616,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:03 AM",Distributed DoS,56.232.121.209,37778,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:19 AM",Distributed DoS,55.52.51.21,42830,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:16 AM",Distributed DoS,255.40.147.148,61471,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:23 AM",Distributed DoS,17.85.86.154,40972,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:48 AM",Distributed DoS,24.35.205.122,25298,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:17 AM",Distributed DoS,242.99.76.133,22564,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:26 AM",Distributed DoS,75.194.115.55,2659,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:27 AM",Distributed DoS,56.231.79.233,35418,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:06 AM",Distributed DoS,16.143.244.232,54147,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:42 AM",Distributed DoS,194.83.237.192,39240,192.168.142.142
